Date,cut_50,cut_25,hold,hike_25,expected_rate_change_fomc,rate_uncertainty_fomc,probability_cut_fomc,probability_hike_fomc,entropy_fomc,us_recession,entropy_us_recession,change_1d,change_5d,cpi_<=2.7,cpi_2.8,cpi_2.9,cpi_>=3.0,expected_cpi,uncertainty_cpi,entropy_cpi
2025-11-01,0.023,0.645,0.325,0.0125,-16.9625,13.501614310310266,0.668,0.0125,1.1392245998432449,0.036,0.22364166448448083,-0.0040000000000000036,-0.009000000000000001,0.0315,0.12,0.545,0.21,2.63155,0.2670897178220271,1.4742694375559893
2025-11-02,0.023,0.665,0.305,0.0125,-17.4625,13.329507032684104,0.6880000000000001,0.0125,1.1180980112605203,0.037,0.22836402584056464,0.0010000000000000009,-0.008,0.0535,0.135,0.525,0.22,2.70495,0.200863941721131,1.58463075679173
2025-11-03,0.027,0.675,0.295,0.0115,-17.9375,13.324545093665487,0.7020000000000001,0.0115,1.11709004641685,0.036,0.22364166448448083,-0.0010000000000000009,-0.009000000000000001,0.0735,0.135,0.525,0.22,2.75895,0.15398363625317457,1.6354390089119604
2025-11-04,0.025,0.665,0.305,0.0115,-17.5875,13.34177367390202,0.6900000000000001,0.0115,1.121036555667654,0.0325,0.2067783098654222,-0.003499999999999996,-0.012499999999999997,0.057,0.135,0.53,0.23,2.7589,0.1560364954746163,1.5986993596630505
2025-11-05,0.029,0.685,0.275,0.0115,-18.287499999999998,13.173726127338652,0.7140000000000001,0.0115,1.108287896311953,0.0445,0.2625570708091226,0.011999999999999997,0.004499999999999997,0.0355,0.145,0.52,0.225,2.68485,0.21988229367948203,1.5496984838615502
2025-11-06,0.0185,0.645,0.325,0.0115,-16.7625,13.250701632366491,0.6635,0.0115,1.1156070638803077,0.046,0.26915586965420646,0.0015000000000000013,0.010000000000000002,0.0355,0.155,0.52,0.22,2.6978500000000003,0.20724852529330542,1.5590165715679274
2025-11-07,0.0205,0.735,0.235,0.0125,-19.0875,12.45784257882359,0.7555,0.0125,1.0114458134095043,0.0395,0.23999499268835264,-0.006499999999999999,0.0025000000000000022,0.0305,0.15,0.52,0.215,2.65535,0.24466653101466498,1.5314724948015601
2025-11-08,0.0245,0.705,0.265,0.0145,-18.4875,13.123487823602764,0.7294999999999999,0.0145,1.0829223516727349,0.046,0.26915586965420646,0.006499999999999999,0.010000000000000002,0.0275,0.145,0.555,0.205,2.7047499999999998,0.20085950196903818,1.486655316387891
2025-11-09,0.0235,0.705,0.265,0.0135,-18.462500000000002,13.012864446145207,0.7284999999999999,0.0135,1.0742680794199517,0.0405,0.24457999269579242,-0.005499999999999998,0.008,0.023,0.17,0.555,0.205,2.7626,0.14952985748672404,1.4998897202648371
2025-11-10,0.0225,0.725,0.245,0.0045,-19.1375,12.035151101305292,0.7474999999999999,0.0045,0.9917473205243977,0.0355,0.22126496256631045,-0.0050000000000000044,-0.009000000000000001,0.0215,0.16,0.555,0.205,2.73055,0.1777958219524575,1.4822483977158705
