Date,Close,VIX_log
22/05/2019,14.75,2.691243083
23/05/2019,16.92000008,2.828496359
24/05/2019,15.85000038,2.763169524
28/05/2019,17.5,2.862200881
29/05/2019,17.89999962,2.884800692
30/05/2019,17.29999924,2.850706457
31/05/2019,18.70999908,2.929058091
03/06/2019,18.86000061,2.93704331
04/06/2019,16.96999931,2.831447039
05/06/2019,16.09000015,2.77819797
06/06/2019,15.93000031,2.768204143
07/06/2019,16.29999924,2.791165061
10/06/2019,15.93999958,2.768831647
11/06/2019,15.98999977,2.771963513
12/06/2019,15.90999985,2.766947833
13/06/2019,15.81999969,2.761274943
14/06/2019,15.27999973,2.726544766
17/06/2019,15.35000038,2.731115499
18/06/2019,15.14999962,2.718000507
19/06/2019,14.32999992,2.662355237
20/06/2019,14.75,2.691243083
21/06/2019,15.39999962,2.734367485
24/06/2019,15.26000023,2.725235041
25/06/2019,16.28000069,2.789937403
26/06/2019,16.20999908,2.785628279
27/06/2019,15.81999969,2.761274943
28/06/2019,15.07999992,2.713369358
01/07/2019,14.06000042,2.643333916
02/07/2019,12.93000031,2.559550216
03/07/2019,12.56999969,2.531312998
05/07/2019,13.27999973,2.586259124
08/07/2019,13.96000004,2.6361961
09/07/2019,14.09000015,2.645465337
10/07/2019,13.02999973,2.567254371
11/07/2019,12.93000031,2.559550216
12/07/2019,12.39000034,2.516889723
15/07/2019,12.68000031,2.540025973
16/07/2019,12.85999966,2.554121692
17/07/2019,13.97000027,2.636912192
18/07/2019,13.52999973,2.604909422
19/07/2019,14.44999981,2.670694401
22/07/2019,13.52999973,2.604909422
23/07/2019,12.60999966,2.534490123
24/07/2019,12.06999969,2.49072301
25/07/2019,12.73999977,2.544746632
26/07/2019,12.15999985,2.498151864
29/07/2019,12.82999992,2.551786173
30/07/2019,13.93999958,2.634762375
31/07/2019,16.12000084,2.780060789
01/08/2019,17.87000084,2.883123376
02/08/2019,17.61000061,2.868466957
05/08/2019,24.59000015,3.202339862
06/08/2019,20.17000008,3.004196356
07/08/2019,19.48999977,2.969901502
08/08/2019,16.90999985,2.827905154
09/08/2019,17.96999931,2.888703663
12/08/2019,21.09000015,3.048799002
13/08/2019,17.52000046,2.863343112
14/08/2019,22.10000038,3.095577626
15/08/2019,21.18000031,3.053057355
16/08/2019,18.46999931,2.916147757
19/08/2019,16.87999916,2.826129439
20/08/2019,17.5,2.862200881
21/08/2019,15.80000019,2.760009952
22/08/2019,16.68000031,2.814210415
23/08/2019,19.87000084,2.989211099
26/08/2019,19.31999969,2.961140813
27/08/2019,20.30999947,3.011113349
28/08/2019,19.35000038,2.962692439
29/08/2019,17.87999916,2.883682723
30/08/2019,18.97999954,2.943385769
03/09/2019,19.65999985,2.978586107
04/09/2019,17.32999992,2.852439099
05/09/2019,16.27000046,2.789322949
06/09/2019,15,2.708050201
09/09/2019,15.27000046,2.725890149
10/09/2019,15.19999981,2.721295415
11/09/2019,14.60999966,2.681706202
12/09/2019,14.22000027,2.654649443
13/09/2019,13.73999977,2.62031127
16/09/2019,14.67000008,2.685804597
17/09/2019,14.43999958,2.670002104
18/09/2019,13.94999981,2.635479495
19/09/2019,14.05000019,2.642622409
20/09/2019,15.31999969,2.729159144
23/09/2019,14.90999985,2.702032119
24/09/2019,17.04999924,2.836150159
25/09/2019,15.96000004,2.770085594
26/09/2019,16.06999969,2.776954161
27/09/2019,17.21999931,2.846071459
30/09/2019,16.23999977,2.787477321
01/10/2019,18.55999947,2.921008699
02/10/2019,20.55999947,3.023347415
03/10/2019,19.12000084,2.950734952
04/10/2019,17.04000092,2.835563575
07/10/2019,17.86000061,2.88256361
08/10/2019,20.28000069,3.009635213
09/10/2019,18.63999939,2.925309777
10/10/2019,17.56999969,2.866192885
11/10/2019,15.57999992,2.745988036
14/10/2019,14.56999969,2.678964599
15/10/2019,13.53999996,2.605648265
16/10/2019,13.68000031,2.615934935
17/10/2019,13.78999996,2.623943689
18/10/2019,14.25,2.656756907
21/10/2019,14,2.63905733
22/10/2019,14.46000004,2.671386219
23/10/2019,14.01000023,2.639771377
24/10/2019,13.71000004,2.618125496
25/10/2019,12.64999962,2.537657185
28/10/2019,13.10999966,2.573375272
29/10/2019,13.19999981,2.580216815
30/10/2019,12.32999992,2.512035311
31/10/2019,13.22000027,2.581730855
01/11/2019,12.30000019,2.509599278
04/11/2019,12.82999992,2.551786173
05/11/2019,13.10000038,2.572612259
06/11/2019,12.61999989,2.535282848
07/11/2019,12.72999954,2.543961377
08/11/2019,12.06999969,2.49072301
11/11/2019,12.68999958,2.540814249
12/11/2019,12.68000031,2.540025973
13/11/2019,13,2.564949357
14/11/2019,13.05000019,2.568788148
15/11/2019,12.05000019,2.489064676
18/11/2019,12.46000004,2.522523516
19/11/2019,12.85999966,2.554121692
20/11/2019,12.77999973,2.547881428
21/11/2019,13.13000011,2.574899697
22/11/2019,12.34000015,2.512846031
25/11/2019,11.86999989,2.474014199
26/11/2019,11.53999996,2.445819258
27/11/2019,11.75,2.463853241
29/11/2019,12.61999989,2.535282848
02/12/2019,14.90999985,2.702032119
03/12/2019,15.96000004,2.770085594
04/12/2019,14.80000019,2.694627194
05/12/2019,14.52000046,2.675527041
06/12/2019,13.61999989,2.611539292
09/12/2019,15.85999966,2.763800195
10/12/2019,15.68000031,2.752386034
11/12/2019,14.98999977,2.707383297
12/12/2019,13.93999958,2.634762375
13/12/2019,12.63000011,2.536074945
16/12/2019,12.14000034,2.496505814
17/12/2019,12.28999996,2.50878592
18/12/2019,12.57999992,2.532108245
19/12/2019,12.5,2.525728644
20/12/2019,12.51000023,2.526528343
23/12/2019,12.60999966,2.534490123
24/12/2019,12.67000008,2.539237
26/12/2019,12.64999962,2.537657185
27/12/2019,13.43000031,2.597491033
30/12/2019,14.81999969,2.695977599
31/12/2019,13.77999973,2.623218246
02/01/2020,12.47000027,2.523325781
03/01/2020,14.02000046,2.640484914
06/01/2020,13.85000038,2.62828526
07/01/2020,13.78999996,2.623943689
08/01/2020,13.44999981,2.598979092
09/01/2020,12.53999996,2.528923532
10/01/2020,12.56000042,2.530517194
13/01/2020,12.31999969,2.511223933
14/01/2020,12.39000034,2.516889723
15/01/2020,12.42000008,2.519308083
16/01/2020,12.31999969,2.511223933
